test_id,Mach,alpha,primary_chart,test_source
278,1.6,0.2,C21,existing_T128
279,1.6,0.205,C21,existing_T128
280,1.45,0.21,C22,geometry_extension
281,1.45,0.215,C22,geometry_extension
282,1.45,0.225,C22,geometry_extension
283,1.45,0.24,C22,geometry_extension
284,1.45,0.25,C22,geometry_extension
285,1.45,0.265,C22,existing_T128
286,1.5,0.21,C22,existing_T128
287,1.5,0.225,C22,existing_T128
288,1.5,0.23,C22,existing_T128
289,1.5,0.25,C22,existing_T128
290,1.5,0.26,C22,geometry_extension
291,1.5,0.27,C22,geometry_extension
292,1.55,0.21,C22,geometry_extension
293,1.55,0.22,C22,existing_T128
294,1.55,0.225,C22,existing_T128
295,1.55,0.24,C22,geometry_extension
296,1.55,0.255,C22,geometry_extension
297,1.6,0.215,C22,geometry_extension
298,1.6,0.225,C22,geometry_extension
299,1.6,0.235,C22,geometry_extension
300,1.6,0.245,C22,geometry_extension
301,1.6,0.255,C22,geometry_extension
302,1.65,0.06,C30,geometry_extension
303,1.65,0.065,C30,existing_T128
304,1.65,0.07,C30,geometry_extension
305,1.65,0.075,C30,geometry_extension
306,1.65,0.08,C30,geometry_extension
307,1.65,0.085,C30,geometry_extension
308,1.65,0.09,C30,geometry_extension
309,1.65,0.095,C30,geometry_extension
310,1.65,0.105,C30,existing_T128
311,1.65,0.115,C30,existing_T128
312,1.7,0.055,C30,existing_T128
313,1.7,0.07,C30,geometry_extension
314,1.7,0.085,C30,geometry_extension
315,1.7,0.1,C30,geometry_extension
316,1.7,0.115,C30,geometry_extension
317,1.75,0.05,C30,existing_T128
318,1.75,0.065,C30,geometry_extension
319,1.75,0.075,C30,existing_T128
320,1.75,0.085,C30,geometry_extension
321,1.75,0.095,C30,existing_T128
322,1.75,0.11,C30,geometry_extension
323,1.8,0.05,C30,existing_T128
324,1.8,0.065,C30,geometry_extension
325,1.8,0.08,C30,geometry_extension
326,1.8,0.095,C30,existing_T128
327,1.8,0.11,C30,geometry_extension
328,1.85,0.055,C30,geometry_extension
329,1.85,0.065,C30,geometry_extension
330,1.85,0.075,C30,existing_T128
331,1.85,0.09,C30,geometry_extension
332,1.85,0.1,C30,geometry_extension
333,1.85,0.11,C30,geometry_extension
334,1.9,0.05,C30,existing_T128
335,1.9,0.065,C30,geometry_extension
336,1.9,0.08,C30,existing_T128
337,1.9,0.09,C30,geometry_extension
338,1.9,0.1,C30,geometry_extension
339,1.9,0.11,C30,geometry_extension
340,1.9,0.125,C30,geometry_extension
341,1.65,0.125,C31,geometry_extension
342,1.65,0.135,C31,geometry_extension
343,1.65,0.145,C31,geometry_extension
344,1.65,0.155,C31,existing_T128
345,1.65,0.17,C31,existing_T128
346,1.65,0.175,C31,existing_T128
347,1.65,0.185,C31,geometry_extension
348,1.65,0.195,C31,geometry_extension
349,1.65,0.205,C31,geometry_extension
350,1.7,0.125,C31,existing_T128
351,1.7,0.135,C31,geometry_extension
352,1.7,0.145,C31,geometry_extension
353,1.7,0.155,C31,geometry_extension
354,1.7,0.165,C31,geometry_extension
355,1.7,0.175,C31,geometry_extension
356,1.7,0.185,C31,geometry_extension
357,1.7,0.195,C31,geometry_extension
358,1.7,0.205,C31,existing_T128
359,1.75,0.12,C31,geometry_extension
360,1.75,0.13,C31,existing_T128
361,1.75,0.145,C31,geometry_extension
362,1.75,0.155,C31,geometry_extension
363,1.75,0.165,C31,existing_T128
364,1.75,0.17,C31,existing_T128
365,1.75,0.18,C31,geometry_extension
366,1.75,0.195,C31,existing_T128
367,1.75,0.205,C31,geometry_extension
368,1.8,0.12,C31,geometry_extension
369,1.8,0.13,C31,geometry_extension
370,1.8,0.145,C31,geometry_extension
371,1.8,0.16,C31,geometry_extension
372,1.8,0.17,C31,geometry_extension
373,1.8,0.18,C31,existing_T128
374,1.8,0.19,C31,existing_T128
375,1.8,0.205,C31,geometry_extension
376,1.85,0.13,C31,geometry_extension
377,1.85,0.14,C31,geometry_extension
378,1.85,0.15,C31,existing_T128
379,1.85,0.16,C31,existing_T128
380,1.85,0.17,C31,geometry_extension
381,1.85,0.185,C31,geometry_extension
382,1.85,0.195,C31,geometry_extension
383,1.85,0.205,C31,geometry_extension
384,1.9,0.14,C31,existing_T128
385,1.9,0.15,C31,geometry_extension
386,1.9,0.16,C31,geometry_extension
387,1.9,0.18,C31,geometry_extension
388,1.9,0.205,C31,existing_T128
389,1.65,0.21,C32,geometry_extension
390,1.65,0.215,C32,geometry_extension
391,1.65,0.22,C32,geometry_extension
392,1.65,0.225,C32,geometry_extension
393,1.65,0.24,C32,existing_T128
394,1.7,0.21,C32,geometry_extension
395,1.7,0.225,C32,existing_T128
396,1.7,0.24,C32,geometry_extension
397,1.75,0.215,C32,geometry_extension
398,1.75,0.235,C32,geometry_extension
399,1.8,0.22,C32,existing_T128
400,1.85,0.215,C32,existing_T128
